,Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Number of vacation days,Employment status,Main language at work,Company size,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
944,30/11/2020 12:11:34,30.0,Male,Barcelona,Data Scientist,5,0,Senior,R,40000.0,0,25,Full-time employee,Spanish,1000+,No,0.0,0
945,30/11/2020 12:11:41,24.0,Male,Sofia,ML Engineer,5,0,Senior,Python,64000.0,0,20,Full-time employee,English,11-50,No,0.0,0
946,30/11/2020 12:11:50,35.0,Male,Frankfurt,Manager ,6,5,Head,C,90000.0,7500,30,Full-time employee,English,1000+,No,0.0,0
947,30/11/2020 12:13:37,27.0,Male,Rome,Data Scientist,2,0,Junior,SQL,25300.0,3000,24,Full-time employee,Italian,1000+,No,0.0,0
948,30/11/2020 12:15:48,31.0,Male,Munich,Professor,10,2,Lead,Python,80000.0,0,Unlimited,Full-time employee,German,101-1000,No,0.0,0
949,30/11/2020 12:17:06,27.0,Female,Munich,Backend Developer,6,4,Senior,Java,85600.0,10000,25,Full-time employee,English,101-1000,No,0.0,0
950,30/11/2020 12:24:32,29.0,Male,Bonn,Data Scientist,2,2,Middle,Python,55200.0,0,30,Full-time employee,English,1000+,No,0.0,0
951,30/11/2020 12:32:14,29.0,Male,Berlin,AI Management,6,6,Head,Python,92000.0,14000,30,Full-time employee,German,1000+,No,0.0,0
952,30/11/2020 12:45:00,34.0,Male,Berlin,Backend Developer,14,6,Lead,Kotlin,96000.0,100000,29,Full-time employee,English,1000+,No,0.0,0
953,30/11/2020 12:49:08,29.0,Male,Helsinki,Frontend Developer,10,0,Senior,TypeScript,60000.0,2500,0,Full-time employee,English,101-1000,No,8.0,0
954,30/11/2020 12:55:38,35.0,Male,Luttich,Data Scientist,12,0,Lead,Python,85000.0,95000,37.5,Full-time employee,English,1000+,No,0.0,240
955,30/11/2020 12:56:08,54.0,Male,Milano,Sales ,31,6,Head,Network Automation,110000.0,100000,29,Full-time employee,English,11-50,No,0.0,No
956,30/11/2020 13:10:41,31.0,Male,Berlin,Software Engineer,6,4,Senior,Kotlin,90000.0,99000,28,Full-time employee,English,1000+,No,0.0,300
957,30/11/2020 13:12:47,30.0,Male,Bielefeld,Software Engineer,5,3,Junior,C++,55000.0,55000,30,Full-time employee,German,11-50,No,0.0,0
958,30/11/2020 13:17:39,36.0,Male,Zurich,Backend Developer,15,2,Senior,C++,172000.0,100000,25,Full-time employee,English,1000+,No,0.0,0
959,30/11/2020 13:26:02,24.0,Male,Berlin,Backend Developer,1,1,Working Student,Python,14400.0,Na,24,Working Student,German,up to 10,No,0.0,No
960,30/11/2020 13:33:21,28.0,Male,Frankfurt,XR Developer,8,1,Lead,C#,25000.0,2000,1,Full-time employee,English,11-50,No,10.0,0
962,30/11/2020 13:52:05,36.0,Male,Hamburg,Data Scientist,2,10,Middle,Python,63000.0,0,30,Full-time employee,English,11-50,No,0.0,0
963,30/11/2020 13:55:09,26.0,Male,Berlin,DevOps,5,2,Middle,"Kubernetes, Terraform, GCP",72000.0,0,23,Full-time employee,English,11-50,No,0.0,0
964,30/11/2020 14:06:35,36.0,Male,Munich,DevOps,14,6,Middle,PowerShell,65000.0,5000,30,Full-time employee,German,101-1000,No,0.0,0
965,30/11/2020 14:30:05,33.0,Male,Berlin,Backend Developer,13,1.5,Senior,Python,83000.0,0,30,Full-time employee,English,51-100,No,32.0,0
966,30/11/2020 14:36:32,35.0,Male,Berlin,Data Engineer,6,6,Senior,Java,200000.0,200000,14,Self-employed (freelancer),English,11-50,No,0.0,0
968,30/11/2020 14:47:24,36.0,Male,Berlin,Frontend Developer,6,4,Middle,JavaScript,58000.0,0,30,Full-time employee,English,101-1000,Yes,0.0,0
969,30/11/2020 15:10:35,35.0,Male,Berlin,Software Engineer,2,2,Middle,"python, scala",50000.0,500,45,Full-time employee,English,1000+,No,0.0,0
970,30/11/2020 15:27:53,29.0,Male,Berlin,Backend Developer,9,6,Senior,Java,75000.0,0,25,Full-time employee,English,51-100,Yes,32.0,0
971,30/11/2020 15:45:24,29.0,Male,Berlin,DevOps,11,7,Lead,TypeScript,140000.0,0,5,Self-employed (freelancer),English,up to 10,No,0.0,0
972,30/11/2020 15:48:04,32.0,Male,Hamburg,Backend Developer,14,6,Lead,Java,80000.0,5000,28,Full-time employee,English,101-1000,No,0.0,0
973,30/11/2020 16:01:37,23.0,Male,"NJ, USA","Student, Software Developer, Data Engineer",4,0,Entry level,"Django, Flask, Plotly Dash",54179.13,60847.32,0,"Full-time position, part-time position, & self-employed (freelancing, tutoring)",English,up to 10,No,0.0,1250.29
974,30/11/2020 16:20:18,32.0,Female,Berlin,Engineering Team Lead,10,6,Lead,QA,65000.0,3250,28,Full-time employee,English,101-1000,No,0.0,300
975,30/11/2020 16:24:25,30.0,Male,Berlin,Software Engineer,7,1,Senior,python,49000.0,0,12,Full-time employee,English,11-50,No,40.0,0
976,30/11/2020 16:32:24,30.0,Male,Munich,Data Scientist,2,2,Middle,Python,50000.0,5000,30,Full-time employee,English,11-50,No,36.0,0
977,30/11/2020 16:42:50,30.0,Male,Berlin,ML Engineer,6,2,Middle,Python,59000.0,0,28,Full-time employee,English,51-100,No,0.0,0
978,30/11/2020 16:54:46,30.0,Male,Frankfurt,Data Scientist,5,4,Middle,Python,52500.0,0,30,Full-time employee,English,11-50,No,16.0,0
979,30/11/2020 16:57:51,48.0,Male,Madrid,DevOps,15,0,Senior,Python,30000.0,0,30,Full-time employee,English,up to 10,Yes,0.0,0
980,30/11/2020 17:05:15,31.0,Male,Berlin,Data Analyst,7,6,Senior,Sql,83000.0,20000,26,Full-time employee,English,101-1000,No,0.0,0
981,30/11/2020 18:24:21,38.0,Male,Cologne,Software Engineer,15,5,Senior,C#,59000.0,7000,30,Full-time employee,English,up to 10,No,0.0,300
982,30/11/2020 18:25:04,22.0,Male,Istanbul,Backend Developer,3,0,Middle,PHP,10001.0,0,0,Self-employed (freelancer),English,up to 10,Yes,0.0,No
983,30/11/2020 18:39:45,28.0,Male,warsaw,Data Scientist,3,0,Middle,Python,50000.0,10000,21,Self-employed (freelancer),English,101-1000,No,0.0,no
984,30/11/2020 18:41:07,29.0,Male,Berlin,Data Scientist,5,2,Senior,Python,75000.0,0,24,Full-time employee,English,11-50,Yes,20.0,No
985,30/11/2020 19:12:11,34.0,Male,Munich,Frontend Developer,5,4,Senior,Javascript / Typescript,54000.0,54000,28,Full-time employee,English,101-1000,No,20.0,0
986,30/11/2020 19:23:52,27.0,Male,Berlin,Frontend Developer,5,1,Middle,"Javascript, Angular",58000.0,58000,25,Full-time employee,English,101-1000,No,0.0,0
987,30/11/2020 19:28:15,34.0,Male,Berlin,ML Engineer,3,3,Senior,Python,70000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
988,30/11/2020 20:09:04,28.0,Male,Wolfsburg,Software Engineer,2,1,Junior,C,48000.0,0,30,Full-time employee,English,101-1000,No,20.0,0
989,30/11/2020 20:14:04,40.0,Male,Mannheim,Software Engineer,9,9,Middle,C,88000.0,5000,30,Full-time employee,English,1000+,No,0.0,0
991,30/11/2020 20:56:33,27.0,Male,Cologne,Software Engineer,1,1,Junior,C++,45000.0,45000,30,Full-time employee,German,11-50,No,0.0,No
992,30/11/2020 21:19:16,35.0,Female,Munich,Data Scientist,5,2,Senior,"SAS,SQL,Python",75000.0,10000,30,Full-time employee,English,1000+,No,0.0,1500
993,30/11/2020 21:31:01,29.0,Male,London,Software Engineer,9,0,Senior,Typescript,113000.0,170000,25,Full-time employee,English,1000+,No,0.0,1800
994,30/11/2020 21:45:21,38.0,Male,Munich,Product Manager,12,12,Senior,Node,74000.0,14000,30,Full-time employee,English,1000+,No,0.0,0
995,30/11/2020 21:48:26,32.0,Male,Berlin,Data Engineer,7,5,Senior,Python/SQL,82000.0,82000,30,Full-time employee,English,101-1000,No,0.0,0
996,30/11/2020 21:57:56,37.0,Male,Berlin,Data Scientist,10,10,Senior,Python,82000.0,0,30,Full-time employee,English,101-1000,No,0.0,200
997,30/11/2020 21:58:51,29.0,Male,Karlsruhe,DevOps,6,5,Senior,"php, js, python, docker",64800.0,9450,30,Full-time employee,English,11-50,No,0.0,1000
998,30/11/2020 22:13:06,32.0,Male,Frankfurt,Software Engineer,7,7,Senior,"C, Matlab",70000.0,4000,30,Full-time employee,German,51-100,No,0.0,0
999,30/11/2020 22:18:02,40.0,Male,Hildesheim,Software Engineer,16,3,Senior,C++,72000.0,5000,30,Full-time employee,English,1000+,No,0.0,0
1000,30/11/2020 22:42:01,39.0,Male,Berlin,Software Engineer,12,6,Lead,Javascript,82000.0,2000,30,Full-time employee,English,1000+,No,0.0,0
1001,30/11/2020 22:42:57,32.0,Male,Vienna,DataOps Team Lead,10,10,Lead,Java,80000.0,40000,25,Full-time employee,German,1000+,No,0.0,0
1002,30/11/2020 23:26:56,26.0,Female,Berlin,Backend Developer,5,0,Middle,Java,65000.0,75000,28,Full-time employee,English,1000+,No,0.0,0
1003,30/11/2020 23:38:05,30.0,Male,Berlin,Software Engineer,9,1,Middle,"TypeScript, Kotlin",77000.0,0,26,Full-time employee,English,1000+,No,0.0,500
1004,01/12/2020 00:06:49,32.0,Female,Munich,Data Scientist,5,5,Senior,Python ,80000.0,0,30,Full-time employee,German,1000+,No,0.0,0
1005,01/12/2020 00:16:18,32.0,Male,Munich,Software Engineer,8,1,Senior,C++,65000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
1006,01/12/2020 00:20:42,31.0,Male,Helsinki,Software Engineer,5,0,Middle,Java,59064.0,66447,30,Full-time employee,English,51-100,No,40.0,0
1007,01/12/2020 00:25:07,30.0,Male,Berlin,Software Engineer,10,6,Senior,Ruby,90000.0,30000,30,Full-time employee,English,1000+,No,0.0,0
1008,01/12/2020 00:32:37,30.0,Male,Munich,Software Sales,12,2,Senior,Cloud,150000.0,20000,28,Full-time employee,English,1000+,No,0.0,200
1009,01/12/2020 00:32:53,30.0,Female,Berlin,QA Engineer,8,6,Senior,Javascript,70000.0,0,31,Full-time employee,English,101-1000,No,0.0,0
1010,01/12/2020 00:38:14,25.0,Male,Hamburg,Backend Developer,5,1,Middle,Java,53500.0,53500,29,Full-time employee,English,1000+,No,32.0,0
1012,01/12/2020 07:13:14,26.0,Male,Munich,Software Engineer,4,0,Middle,JavaScript / TypeScript,75000.0,82500,30,Full-time employee,English,101-1000,No,0.0,0
1015,01/12/2020 08:39:16,39.0,Male,Siegen,Software Engineer,16,6,Senior,Embedded,62400.0,5000,30,Full-time employee,Russian,1000+,No,0.0,0
1017,01/12/2020 08:49:09,35.0,Male,Murnau am Staffelsee ,Beikoch,1,1,Middle,Apotheker,30000.0,1000,20,Full-time employee,German,up to 10,No,0.0,0
1018,01/12/2020 08:52:15,38.0,Male,Munich,Software Engineer,16,5,Senior,.net,90000.0,0,36,Full-time employee,English,101-1000,No,0.0,0
1019,01/12/2020 09:44:56,22.0,Male,Zürich,Product Management Praktikant,2,0.5,Intern,Python,35000.0,35000,0,Intern,German,up to 10,No,0.0,0
1020,01/12/2020 09:47:47,32.0,Male,Innsbruck,Data Scientist,3,0,Senior,Python,62000.0,3000,25,Full-time employee,English,1000+,No,12.0,0
1021,01/12/2020 09:50:38,30.0,Female,Munich,Frontend Developer,9,3,Senior,"JavaScript, TypeScript",60000.0,4000,28,Full-time employee,English,1000+,No,0.0,0
1022,01/12/2020 09:59:53,34.0,Male,Berlin,Backend Developer,10,4,Middle,Java,65600.0,800,30,Full-time employee,English,101-1000,No,0.0,0
1023,01/12/2020 10:04:53,36.0,Male,Stockholm,Mobile Developer,14,7,Senior,Java,80000.0,0,30,Full-time employee,English,1000+,No,0.0,0
1024,01/12/2020 10:11:09,26.0,Female,Hannover,QA Engineer,2,"0,3",Middle,Tricentis Tosca,32000.0,0,30,Full-time employee,German,1000+,No,0.0,0
1025,01/12/2020 10:48:26,28.0,Female,Berlin,Data Analyst,3,2.5,Middle,SQL,53000.0,0,30,Full-time employee,English,101-1000,No,0.0,1500
1026,01/12/2020 11:17:35,25.0,Male,Berlin,Software Engineer,6,0,Middle,Scala,65000.0,1000,30,Full-time employee,English,1000+,No,0.0,40
1027,01/12/2020 12:29:04,28.0,Male,Berlin,Data Scientist,6,6,Lead,"Python, SQL",78000.0,0,26,Full-time employee,English,51-100,No,0.0,0
1028,01/12/2020 12:47:27,26.0,Male,Berlin,QA Engineer,4,1,Middle,Swift/Kotlin,55500.0,0,25,Full-time employee,English,51-100,No,32.0,400
1029,01/12/2020 13:56:36,35.0,Male,Berlin,Software Engineer,20,5,Senior,JavaScript,100000.0,0,32,Full-time employee,English,1000+,No,0.0,0
1031,01/12/2020 14:21:01,23.0,Female,Berlin,Data analyst ,1,1,Junior,Sql ,36000.0,36000,28,Full-time employee,English,1000+,No,0.0,500
1032,01/12/2020 14:33:35,28.0,Male,Munich,Software Engineer,3,3,Junior,.NET,65000.0,13000,30,Full-time employee,English,1000+,No,0.0,0
1033,01/12/2020 14:58:24,36.0,Male,Berlin,Software Engineer,10,10,Principal,Java & Distributed Systems Stuff,100000.0,35000,28,Full-time employee,English,1000+,No,0.0,800
1035,01/12/2020 16:16:38,30.0,Male,Heidelberg,Software Engineer,9,4,Senior,.NET,60000.0,2000,30,Full-time employee,English,1000+,No,0.0,0
1036,01/12/2020 16:16:56,30.0,Male,Heidelberg,Software Engineer,9,4,Senior,.NET,60000.0,2000,30,Full-time employee,English,1000+,No,0.0,0
1037,01/12/2020 16:36:05,28.0,Male,Zurich,Software Engineer,6,0,Middle,C++,100000.0,18000,25,Full-time employee,German,11-50,No,0.0,0
1038,01/12/2020 17:50:06,29.0,Male,Berlin,Frontend Developer,5,5,Middle,javascript,66000.0,0,28,Full-time employee,English,1000+,No,0.0,500
1040,01/12/2020 18:58:24,26.0,Female,Prague,Software Engineer,4,1,Middle,C#,64000.0,0,25,Full-time employee,"Russian, English",1000+,No,0.0,0
1041,01/12/2020 19:09:43,26.0,Male,Berlin,Product Analyst,4,3,Middle,Python,55000.0,0,26,Full-time employee,English,1000+,No,0.0,100
1042,01/12/2020 19:26:55,31.0,Male,Munich,Software Engineer,5,2,Middle,Java,74000.0,3000,27,Full-time employee,English,1000+,No,0.0,0
1043,01/12/2020 20:57:41,34.0,Female,Hildesheim ,QA Engineer,11,2,Senior,QA,60000.0,2000,30,Full-time employee,German,1000+,No,5.0,0
1044,01/12/2020 21:28:19,34.0,Male,Hamburg,DevOps,8,1,Senior,Embedded,67500.0,2800,30,Full-time employee,English,101-1000,No,30.0,0
1045,01/12/2020 22:23:17,36.0,Male,Munich,Software Engineer,13,5,Head,Java,90000.0,5000,30,Full-time employee,English,101-1000,No,0.0,0
1046,01/12/2020 23:24:17,36.0,Male,Berlin,DevOps,17,4,Head,Python,124000.0,107000,28,Full-time employee,English,101-1000,No,0.0,0
1048,02/12/2020 00:27:03,31.0,Male,Berlin,Software Engineer,7,2,Senior,Java,75000.0,12500,30,Full-time employee,English,101-1000,No,0.0,0
1049,02/12/2020 04:49:47,28.0,Male,Munich,Software Engineer,8,1,Senior,PHP,57000.0,0,28,Full-time employee,English,51-100,No,0.0,0
1050,02/12/2020 04:49:53,28.0,Male,Munich,Software Engineer,8,1,Senior,PHP,57000.0,0,28,Full-time employee,English,51-100,No,0.0,0
1051,02/12/2020 08:56:43,36.0,Male,Berlin,Backend Developer,16,8,Lead,Scala,120000.0,120000,30,Full-time employee,English,101-1000,No,0.0,0
1052,02/12/2020 10:35:10,22.0,Female,Eindhoven,Frontend Developer,2,-,Junior,JS,24000.0,-,24,Full-time employee,English,11-50,Laid off for a bit,32.0,-
1054,02/12/2020 12:06:42,30.0,Male,Berlin,Backend Developer,4,2,Middle,python,58000.0,0,24,Full-time employee,English,101-1000,No,0.0,500
1055,02/12/2020 14:20:32,35.0,Male,Berlin,Software Engineer,12,6,Middle,Kotlin,75000.0,95000,28,Full-time employee,English,1000+,No,0.0,0
1056,02/12/2020 14:43:40,30.0,Male,Berlin,Software Engineer,10,2,Middle,iOS,71000.0,0,27,Full-time employee,English,101-1000,No,0.0,0
1057,02/12/2020 14:45:13,36.0,Male,Bonn,DevOps,15,1,Junior,jenkins bash,52500.0,0,30,Full-time employee,English,11-50,No,0.0,0
1059,02/12/2020 17:06:36,28.0,Male,Cologne,Software Engineer,5,1,Middle,Java,50000.0,50000,25,Full-time employee,Russian,101-1000,No,0.0,0
1060,02/12/2020 17:09:22,42.0,Male,Berlin,Backend Developer,19,3,Senior,PHP,66000.0,4000,26,Full-time employee,English,101-1000,No,0.0,0
1061,02/12/2020 18:46:00,34.0,Male,Berlin,Backend Developer,14,4,Senior,Kotlin,95000.0,125000,28,Full-time employee,English,1000+,No,0.0,300
1062,02/12/2020 19:35:54,27.0,Male,Hamburg,Backend Developer,0,0,Junior,Python,50000.0,5000,30,Full-time employee,English,up to 10,No,0.0,0
1064,02/12/2020 21:42:33,36.0,Female,Berlin,Data Scientist,5,5,Senior,Python,87000.0,15000,30,Full-time employee,English,1000+,No,0.0,0
1065,02/12/2020 21:53:01,31.0,Male,Berlin,Software Engineer,4,4,Senior,Python,68000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
1066,02/12/2020 22:41:04,32.0,Female,Munich,It Consulting ,2,2,Junior,Test Management ,54000.0,1500,27,Full-time employee,German,1000+,No,0.0,150
1067,03/12/2020 08:53:41,32.0,Male,Berlin,Software Engineer,13,5,Lead,JavaScript,83000.0,3000,30,Full-time employee,English,1000+,No,0.0,0
1068,03/12/2020 09:40:36,36.0,Male,Prefer not to say,ML Engineer,6,6,Senior,Python,110000.0,25000,30,Full-time employee,English,101-1000,No,0.0,80
1069,03/12/2020 10:59:45,26.0,Male,Munich,Software Engineer,6,2,Senior,TypeScript,93000.0,10000,30,Full-time employee,English,11-50,No,0.0,0
1070,03/12/2020 11:04:39,28.0,Female,Berlin,Data Scientist,4,2,Middle,Python,73700.0,80400,28,Full-time employee,English,1000+,No,0.0,200
1071,03/12/2020 11:52:21,34.0,Male,Munich,Data Scientist,10,10,Senior,Python,85000.0,20000,28,Full-time employee,English,101-1000,No,0.0,300
1072,03/12/2020 13:25:21,38.0,Male,Berlin,Data Scientist,10,9,Senior,Python,87550.0,0,30,Full-time employee,German,101-1000,No,0.0,600 nett
1073,03/12/2020 13:58:08,37.0,Male,Berlin,Software Engineer,16,8,Senior,Java,80000.0,0,27,Full-time employee,English,101-1000,No,0.0,0
1074,03/12/2020 21:03:20,31.0,Male,Berlin,Backend Developer,9,1,Senior,NodeJS/TS,65000.0,5000,27,Full-time employee,English,51-100,No,30.0,0
1075,03/12/2020 21:25:35,38.0,Male,Berlin,Backend Developer,15,1,Middle,PHP/MySQL,40700.0,0,25,Full-time employee,English,11-50,No,0.0,0
1077,03/12/2020 22:07:03,25.0,Male,Hamburg,ML Engineer,2,2,Middle,Python,60000.0,65000,28,Full-time employee,German,11-50,No,0.0,0
1078,04/12/2020 09:21:01,33.0,Female,Berlin,Frontend Developer,13,4,Middle,"Angular, TypeScript",47745.0,3800,30,"full-time, but 32 hours per week (it was my request, I'm a student)",English,1000+,No,0.0,0
1079,04/12/2020 10:37:11,39.0,Female,Berlin,Data Scientist,2.5,2,Junior,python,60000.0,60000,30,Full-time employee,English,up to 10,Yes,0.0,no
1080,04/12/2020 11:18:51,25.0,Male,Hamburg,Software Engineer,1,1,Junior,C#,43500.0,0,28,Full-time employee,German,51-100,No,0.0,0
1081,04/12/2020 11:51:26,30.0,Female,Berlin,Software Engineer,7,3,Senior,Java,60000.0,0,27,Full-time employee,English,51-100,No,0.0,0
1086,05/12/2020 00:19:36,35.0,Male,Munich,Software Engineer,14,1,Senior,C++,98000.0,28000,30,Full-time employee,English,1000+,No,0.0,400
1087,05/12/2020 03:34:07,25.0,Male,Cologne,ML Engineer,2,2,Middle,"NLP, Python",51000.0,3000,24,Full-time employee,English,up to 10,No,0.0,0
1088,05/12/2020 10:09:33,31.0,Male,Berlin,Software Engineer,4,1,Senior,Java,69000.0,0,28,Full-time employee,English,1000+,No,0.0,0
1089,05/12/2020 12:18:41,31.0,Male,Hamburg,Data Scientist,"6 (not as a data scientist, but as a lab scientist)","6 (not as a data scientist, but as a lab scientist)",Middle,Python,57000.0,0,0,Full-time employee,German,1000+,No,0.0,0
1090,05/12/2020 12:43:21,25.0,Female,Amsterdam,Data Scientist,1.5,0,Middle,Python,49850.0,500,25,Full-time employee,English,11-50,No,0.0,150
1091,05/12/2020 13:42:21,27.0,Male,Dusseldurf,Backend Developer,2,0,Middle,PHP,50000.0,0,28,Full-time employee,English,101-1000,No,0.0,20%
1092,05/12/2020 13:52:19,37.0,Male,Berlin,Software Engineer,12,6,Middle,php,65000.0,31500,26,Full-time employee,English,1000+,No,0.0,200
1094,05/12/2020 15:16:24,32.0,Male,Hamburg,ML Engineer,4,1.5,Middle,"Python, Whole Apache Data Science Stack, AWS",37500.0,0,24,Full-time employee,German,101-1000,No,0.0,0
1095,05/12/2020 17:29:17,28.0,Female,Berlin,Backend Developer,3,2,Middle,Python,65000.0,0,30,Full-time employee,English,1000+,No,0.0,0
1096,05/12/2020 18:10:14,35.0,Male,Fr,Backend Developer,4,2.5,Middle,Java,42000.0,0,28,Full-time employee,English,51-100,No,0.0,750
1097,05/12/2020 22:37:41,36.0,Male,Berlin,Staff Engineer,15,4,Lead,Go,85000.0,3000,28,Full-time employee,English,1000+,No,0.0,1100
1098,06/12/2020 14:46:17,32.0,Male,Berlin,Designer (UI/UX),5,10,Senior,Java,70000.0,5000,24,Self-employed (freelancer),German,up to 10,No,0.0,0
1099,06/12/2020 16:31:09,22.0,Male,Frankfurt,Software Engineer,2,2,Junior,Java,45000.0,7000,30,Full-time employee,German,1000+,Yes,30.0,0
1100,06/12/2020 19:01:46,33.0,Male,Berlin,Head of IT,3,3,Head,Python,100000.0,20000,32,Full-time employee,German,51-100,yes but found a new one with better pay / perks,0.0,0
1101,06/12/2020 21:08:57,35.0,Male,Berlin,Backend Developer,13,5,Senior,Php,68000.0,0,26,Full-time employee,English,1000+,No,20.0,0
1102,06/12/2020 21:17:41,32.0,Female,Berlin,Computational linguist,5,5,Middle,Java,50400.0,0,29,Full-time employee,English,11-50,No,40.0,0
1104,07/12/2020 03:52:51,28.0,Male,Berlin,Product Analyst,4,0,Junior,SQL,55000.0,0,22,Full-time employee,English,1000+,No,0.0,No
1105,07/12/2020 06:56:43,30.0,Male,Hamburg,Data Scientist,5,5,Middle,Python,55000.0,60000,30,Full-time employee,English,101-1000,No,0.0,0
1106,07/12/2020 07:09:07,40.0,Male,Munich,Data Engineer,15,7,Lead,SQL,90000.0,10000,30,Full-time employee,English,101-1000,No,32.0,0
1107,07/12/2020 08:28:00,27.0,Female,Berlin,Data Scientist,5,2,Senior,Python ,75000.0,0,24,Full-time employee,English,101-1000,No,0.0,0
1108,07/12/2020 09:25:26,32.0,Male,Berlin,Backend Developer,10,5,Senior,Node.js,80000.0,0,24,Full-time employee,English,11-50,No,0.0,0
1109,07/12/2020 13:10:18,33.0,Male,Munich,Software Engineer,5,5,Senior,Embedded C++,61000.0,63000,30,Full-time employee,English,1000+,No,40.0,1500
1110,07/12/2020 16:36:43,31.0,Male,Berlin,Data Engineer,4,2,Middle,Python,50000.0,0,30,Full-time employee,English,101-1000,No,40.0,200
1112,07/12/2020 21:22:11,32.0,Male,Munich,Software Engineer,10,3,Lead,Swift,75000.0,5000,27,Full-time employee,English,101-1000,No,0.0,0
1114,07/12/2020 22:48:05,25.0,Male,Munich,Frontend Developer,7,1,Senior,JS,70000.0,6000,28,Full-time employee,English,101-1000,No,0.0,0
1115,07/12/2020 22:54:31,34.0,Male,Munich,Software Engineer,10,4,Senior,C++,74000.0,0,30,Full-time employee,English,1000+,No,0.0,0
1116,07/12/2020 22:56:55,29.0,Male,Darmstadt,Data Scientist,5,2,Middle,Python,65000.0,0,30,Full-time employee,English,101-1000,No,0.0,1500
1117,07/12/2020 22:56:59,29.0,Male,Darmstadt,Data Scientist,5,2,Middle,Python,65000.0,0,30,Full-time employee,English,101-1000,No,0.0,1500
1120,08/12/2020 01:00:52,24.0,Male,Munich,DevOps,3,1,Junior,Go,77000.0,20000,30,Full-time employee,English,1000+,No,0.0,0
1121,08/12/2020 01:09:28,35.0,Male,Frankfurt,Software Engineer,10,1,Senior,Java,60000.0,5000,30,Full-time employee,English,101-1000,No,0.0,0
1122,08/12/2020 01:45:43,31.0,Male,Munich,DevOps,6,2,Middle,NodsJs,60000.0,2000,30,Full-time employee,English,51-100,No,0.0,0
1123,08/12/2020 08:17:39,27.0,Male,Munich,Software Engineer,2,5,Junior,Java,68000.0,2000,28,Full-time employee,English,101-1000,No,0.0,0
1124,08/12/2020 09:39:06,38.0,Male,Berlin,Full-Stack Developer,1,1,Junior,Javascript/Typescript,45500.0,45500,28,Full-time employee,English,51-100,No,0.0,0
1125,08/12/2020 09:39:49,34.0,Male,Munich,DevOps,12,2,Middle,Java,72000.0,8000,28,Full-time employee,English,101-1000,No,0.0,0
1126,08/12/2020 10:53:52,35.0,Male,Darmstadt,Data Scientist,4,4,Senior,python,67000.0,5000,30,Full-time employee,English,51-100,No,0.0,0
1127,08/12/2020 11:49:02,35.0,Male,Duesseldorf,DevOps,17,5,Senior,Linux,85000.0,2000,30,Full-time employee,English,1000+,No,0.0,0
1128,08/12/2020 13:30:50,36.0,Male,Berlin,Backend Developer,10,3,Senior,Java,75000.0,0,30,Full-time employee,English,101-1000,No,0.0,500
1129,08/12/2020 13:55:01,33.0,Male,Munich,Backend Developer,13,3,Senior,Java,70000.0,7000,0,Full-time employee,English,51-100,No,0.0,0
1130,08/12/2020 20:04:49,29.0,Male,Berlin,DevOps,7,3,Senior,"Kuberenetes, Openstack",82000.0,0,28,Full-time employee,English,101-1000,No,32.0,500
1131,08/12/2020 20:38:39,35.0,Male,Berlin,Software Engineer,15,4,Senior,Java,85000.0,10000,30,Full-time employee,English,101-1000,No,0.0,0
1132,08/12/2020 20:57:45,30.0,Male,Berlin,Software Engineer,11,4,Senior,c/c++,70000.0,0,0,Full-time employee,English,51-100,No,0.0,0
1134,08/12/2020 21:57:59,25.0,Female,Cambridge,Frontend Developer,4,0,Middle,JavaScript/Typescript,45000.0,45000,28,Full-time employee,English,101-1000,No,37.5,I was able to move all equipment I need to work to home
1135,08/12/2020 22:10:37,24.0,Male,Berlin,ML Engineer,0.8,0.2,Junior,Python,11500.0,0,24,Werkstudent,English,11-50,No,0.0,0
1136,08/12/2020 23:46:09,34.0,Male,Cologne,CTO,14,2,Lead,C#,84000.0,92000,21,Full-time employee,English,11-50,No,0.0,0
1137,09/12/2020 04:46:05,42.0,Male,Hamburg,Data Scientist,2,2,Senior,Python ,80000.0,7000,30,Full-time employee,German,1000+,No,0.0,0
1138,09/12/2020 10:09:49,37.0,Female,Hamburg,QA Manager,7,7,Middle,java,46000.0,2000,30,Full-time employee,German,101-1000,No,0.0,0
1139,09/12/2020 10:32:21,32.0,Male,Berlin,Mobile Developer,8,2,Senior,Swift,75000.0,0,26,Full-time employee,English,1000+,No,0.0,0
1140,09/12/2020 13:37:29,26.0,Female,Berlin,Mobile Developer,8,3,Middle,c++,40000.0,2000,36,Self-employed (freelancer),German,101-1000,No,0.0,0
1141,09/12/2020 21:12:22,35.0,Male,Munich,Software Engineer,15,5,Head,SQL,100000.0,0,30,Founder,English,11-50,No,0.0,0
1142,10/12/2020 08:37:41,43.0,Male,Munich,Product Manager,18,9,Lead,.NET,115000.0,6000,25,Full-time employee,English,1000+,No,0.0,800
