,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
196,30.0,Male,Munich,Software Engineer,7,5,Senior,C++,No Response,100000.0,75000,97000.0,70000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
197,26.0,Female,Berlin,Software Engineer,6,4,Senior,.NET,".NET, SQL, Azure, Docker",65000.0,1000,56000.0,1000,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
198,31.0,Female,Stuttgart,Data Scientist,4,2,Middle,R,"Python, R, Azure",65000.0,73000,62000.0,68000,30,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,35.0,0
199,31.0,Male,Munich,Software Engineer,9,1,Middle,C++,Java / Scala,92500.0,22500,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
200,29.0,Female,Stuttgart,QA Engineer,6,2,Middle,JS,No Response,54000.0,0,No Response,No Response,26,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,20.0,0
201,33.0,Male,Munich,Backend Developer,15,3,Lead,Scala,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker",100000.0,10000,98000.0,101,30,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
202,26.0,Male,Munich,ML Engineer,1.5,1.5,Junior,Python,"C/C++, PyTorch",58000.0,0,55000.0,No Response,30,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,0
203,30.0,Female,Frankfurt,QA Engineer,6,4,Senior,Bash,"Python, Java / Scala, SQL, AWS, Azure",70000.0,2000,70000.0,2000,30,Full-time,Unlimited contract,German,1000+,Finance,No,0.0,0
204,34.0,Male,Berlin,Software Engineer,14,5,Senior,C#,"Javascript / Typescript, .NET, SQL, AWS, Docker",72000.0,0,65000.0,No Response,26,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,30.0,0
205,37.0,Male,Berlin,Team Lead,12,10,Lead,Python,"Python, PHP, Javascript / Typescript, SQL, Docker",90000.0,0,85000.0,No Response,30,Full-time,Unlimited contract,English,11-50,Business Services,No,0.0,0
206,28.0,Male,Munich,Network Administrator,9,3,Senior,Network,No Response,61200.0,7300,53300.0,6200,30,Full-time,Unlimited contract,English,1000+,Retail,No,0.0,0
207,31.0,Male,Berlin,QA Engineer,10,5,Senior,nothing,Python,60000.0,77000,67500.0,No Response,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
208,29.0,Male,Dusseldorf,Consultant Data Analytics,1,1,Junior,Python,No Response,45000.0,2000,No Response,No Response,30,Full-time,Unlimited contract,German,1000+,Business Services,No,0.0,0
209,39.0,Male,Munich,BI IT Consultant,5,5,Middle,"Qlik BI Tool, SQL","Javascript / Typescript, SQL",56000.0,17000,53000.0,17000,30,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,36.0,0
210,39.0,Male,Munich,Software Engineer,12,6,Lead,PHP,"Javascript / Typescript, Kubernetes, Docker",108000.0,0,108000.0,No Response,0,Self-employed,Unlimited contract,English,up to 10,Business Services,No,0.0,0
211,29.0,Male,Munich,Backend Developer,8,4,Senior,Java,SQL,95000.0,7000,74000.0,6000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
212,36.0,Male,Nurenberg,Frontend Developer,1,0.5,Junior,Javascript,"PHP, SQL",37500.0,0,No Response,No Response,28,Full-time,Temporary contract,German,up to 10,Entrepreneurship,Yes,0.0,0
213,33.0,Male,Berlin,iOS Developer,10,2,Middle,Swift,"Ruby, Objective C",67000.0,0,66000.0,No Response,29,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
214,31.0,Male,Berlin,Data Engineer,9,5,Senior,Python,"Kotlin, SQL, AWS, Docker, Spark",81000.0,12150,80600.0,No Response,0,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
215,38.0,Male,Berlin,Backend Developer,11,1,Senior,Javascript,"Python, Javascript / Typescript, SQL, AWS, Docker",35000.0,0,No Response,No Response,0,Founder,Unlimited contract,English,up to 10,Entrepreneurship,No,0.0,0
216,37.0,Male,Berlin,Cloud Engineer,15,3,Senior,Cloud,"Python, .NET, Azure, Kubernetes, Docker",72000.0,10000,62000.0,7000,36,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,Yes,0.0,0
217,30.0,Male,Ansbach,Software Engineer,4,3,Junior,PHP,Javascript / Typescript,42000.0,0,36000.0,No Response,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
218,34.0,Male,Munich,Solutions architect,14,6,Lead,Blockchain,"Python, Kotlin, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",95000.0,10000,85000.0,10000,24,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,400
