,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
538,32.0,Female,Munich,Data Engineer,10,2,Middle,Python,"Python, SQL, AWS, Docker, Spark, Airflow",75000.0,0,70000.0,0,27,Full-time,Unlimited contract,English,11-50,Entrepreneurship,Yes,0.0,0
539,28.0,Male,Berlin,QA Engineer,5,1,Middle,QA,Python,60000.0,0,58000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
540,38.0,Male,Dublin,Mobile Developer,16,0,Senior,Swift,"Swift, Java / Scala",85000.0,0,85000.0,85000,24,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
541,29.0,Male,Berlin,Data Engineer,3,3,Middle,Azure,"Python, SQL, Azure",54000.0,6000,45000.0,0,30,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
542,30.0,Male,Stockholm,Backend Developer,7,2.5,Senior,C++,"Python, C/C++, Java / Scala, AWS, Kubernetes, Docker",65000.0,9000,60000.0,9000,33,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
543,33.0,Female,Berlin,Designer (UI/UX),6,1,Middle,"Sketch, Figma",No Response,42000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,Yes,0.0,0
544,30.0,Male,Paderborn,Data Scientist,6,2,Junior,Python,"Python, SQL, Docker",51000.0,4250,No Response,No Response,30,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,0
545,37.0,Male,Berlin,Mobile Developer,16,2,Senior,iOS,"Kotlin, C/C++, Swift, Ruby",65000.0,0,55000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
546,30.0,Male,Berlin,Software Engineer,7,1,Senior,Java,"Go, AWS, Kubernetes",86000.0,0,82600.0,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
547,30.0,Male,Berlin,Software Engineer,8,2,Senior,JS,No Response,60000.0,0,60000.0,0,25,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,20.0,0
548,32.0,Male,Berlin,QA Engineer,10,3,Senior,js,"Java / Scala, Google Cloud, Docker",81000.0,45000,81000.0,22000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1000
549,32.0,Male,Cologne,DevOps,7,2,Middle,k8s,"Python, Google Cloud, Kubernetes, Docker",60000.0,0,70000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,Yes,0.0,0
550,34.0,Male,Munich,Software Engineer,12,8,Senior,Java,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker",74000.0,0,69000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,32.0,0
551,43.0,Male,Cologne,Backend Developer,10,7,Senior,Php,PHP,57600.0,8000,57600.0,55000,26,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,0
552,33.0,Male,Munich,Software Engineer,13,4,Senior,Java,"Python, Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",70000.0,0,64000.0,No Response,24,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
553,28.0,Female,Munich,QA Engineer,8,4,Senior,Kotlin,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",75000.0,0,64000.0,6000,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
554,33.0,Male,Hamburg,Software Engineer,11,5,Senior,Java,"Python, SQL",65000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
555,33.0,Male,Munich,Software Engineer,11,4,Lead,"Frontend: react, node.js","Javascript / Typescript, AWS, Kubernetes, Docker",90000.0,0,75000.0,No Response,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
556,51.0,Male,Berlin,Software Engineer,30,30,Senior,"VB, RPA, Python","Python, PHP, Javascript / Typescript, .NET, SQL, SAP / ABAP",60000.0,5000,50000.0,5000,30,Full-time,Unlimited contract,German,1000+,Business Services,No,0.0,0
557,35.0,Male,Berlin,Software Engineer,8,5,Senior,Go,"Java / Scala, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",90000.0,100000,85000.0,50000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
558,35.0,Male,Berlin,Software Engineer,1,1,Junior,FBD,"PHP, Javascript / Typescript, SQL",30000.0,0,No Response,No Response,26,Full-time,Unlimited contract,German,up to 10,Utilities and Manufacturing,No,0.0,0
559,28.0,Male,Munich,Software Engineer,6,3,Middle,"C, C++","C/C++, Linux Kernel",64000.0,9000,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
560,25.0,Male,Berlin,Mobile Developer,2,2,Middle,"Swift, Objective-C, iOS",Swift,44000.0,0,43000.0,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
561,25.0,Female,Hamburg,working student (QA),1,1,Student,Ruby,"Java / Scala, SQL",12000.0,0,12000.0,0,12,Intern,Temporary contract,English,1000+,Utilities and Manufacturing,No,0.0,0
562,32.0,Male,Berlin,Backend Developer,10,3,Lead,Ruby,"Python, Javascript / Typescript, Ruby, SQL, AWS, Docker",80000.0,0,68500.0,0,28,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
563,32.0,Male,Berlin,Software Engineer,9,3,Lead,Embedded,"Python, C/C++, Go",73000.0,1000,65000.0,1000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,300
564,26.0,Male,Berlin,Architect ,9,4,Lead,Go,"Kotlin, Ruby, Go, Rust, AWS, Kubernetes, Docker",120000.0,50000,95000.0,40000,24,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,Yes,0.0,0
565,25.0,Male,Berlin,Software Engineer,6,3,Senior,JavaScript / TypeScript,"AWS, Docker",71750.0,6000,66000.0,5500,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
566,27.0,Female,Berlin,Backend Developer,5,2.5,Middle,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes",65000.0,0,52000.0,0,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
567,28.0,Male,Frankfurt,Frontend Developer,7,5,Senior,Javascript,"Javascript / Typescript, AWS, Azure, Docker",80000.0,0,76000.0,4000,29,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
568,32.0,Female,Munich,QA Engineer,8,1,Senior,Java,"Javascript / Typescript, C#",60000.0,70000,No Response,No Response,26,Full-time,Unlimited contract,English,101-1000,Business Services,No,0.0,0
569,28.0,Male,Karlsruhe,Backend Developer,7,3,Senior,Java,"Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",66000.0,3000,66000.0,76000,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
570,34.0,Male,Berlin,Frontend Developer,13,1,Lead,JavaScript,"Javascript / Typescript, SQL, AWS",85000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
571,35.0,Male,Konstanz,Data Scientist,10,10,Middle,python,"Python, Azure, Kubernetes",65000.0,0,65000.0,0,25,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
572,38.0,Male,Berlin,Head of Engineering,20,9,Lead,Java,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",130000.0,20000,130000.0,20000,30,Full-time,Unlimited contract,English,1000+,General,Yes,0.0,0
573,33.0,Male,Berlin,Backend Developer,9,4,Senior,Java,"Python, Javascript / Typescript, Java / Scala, SQL, Go, AWS, Kubernetes, Docker",81900.0,102600,No Response,No Response,0,Full-time,Unlimited contract,English,1000+,Entrepreneurship,No,0.0,0
574,31.0,Female,Ulm,QA Engineer,8,3,Middle,Java,Java / Scala,45000.0,0,39000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
575,43.0,Male,Stuttgart,SAP Consultant,20,15,Senior,SAP / ABAP,"SQL, SAP / ABAP",82000.0,12000,82000.0,10000,32,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
576,38.0,Male,Berlin,Data Scientist,15,2,Lead,Python,"Python, SQL, SAP / ABAP, AWS",100000.0,120000,80000.0,No Response,27,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,25.0,0
577,35.0,Male,Munich,DevOps,17,5,Lead,Kubrrnetes,"R, AWS, Google Cloud, Kubernetes, Docker",72000.0,8000,72500.0,8000,30,Full-time,Unlimited contract,English,1000+,Business Services,No,8.0,0
578,32.0,Male,Berlin,DevOps,10,1,Middle,python,"Python, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",62000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,30.0,0
579,37.0,Male,Berlin,Mobile Developer,17,1,Senior,Swift,Javascript / Typescript,77000.0,500,71000.0,0,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
580,29.0,Male,Berlin,Mobile Developer,5,4,Senior,iOS,Swift,65000.0,0,58000.0,No Response,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
581,38.0,Male,Stuttgart,Backend Developer,4,2,Middle,PHP,"Javascript / Typescript, SQL, Docker",43000.0,0,43000.0,0,30,Full-time,Unlimited contract,English,up to 10,Business Services,No,30.0,0
582,29.0,Male,Dusseldorf,Frontend Developer,6,6,Middle,TypeScript,"Javascript / Typescript, Azure",55000.0,0,No Response,No Response,30,Full-time,Unlimited contract,German,11-50,Utilities and Manufacturing,No,0.0,0
583,35.0,Male,Berlin,QA Engineer,12,3,Senior,JS,"Javascript / Typescript, SQL",63000.0,0,56000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,Yes,30.0,0
584,41.0,Male,Munich,Software Engineer,19,5,Senior,Java,"PHP, Java / Scala, SQL, AWS, Docker",75000.0,0,73000.0,0,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
585,29.0,Male,Barcelona,Data Scientist,0,0,Junior,Python,"R, SQL",22000.0,2000,11000.0,500,22,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
586,26.0,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,ABAP,"Python, SQL",65000.0,77000,46000.0,50000,30,Full-time,Unlimited contract,German,up to 10,Entrepreneurship,No,0.0,0
587,30.0,Male,Berlin,Data Engineer,6,1,Middle,Python,AWS,65000.0,1000,No Response,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,600
588,26.0,Male,London,DevOps,3,0,Middle,"networking, linux, automation, cloud","Python, AWS",37000.0,0,No Response,No Response,25,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
589,35.0,Female,Munich,Backend Developer,4,4,Middle,PHP,"PHP, Javascript / Typescript, Java / Scala",51000.0,4000,47000.0,3500,30,Full-time,Unlimited contract,German,101-1000,Finance,No,0.0,0
590,47.0,Male,Bölingen,Software Engineer,25,15,No level,java,"Java / Scala, SQL",70000.0,0,No Response,No Response,30,Full-time,Unlimited contract,German,11-50,Business Services,No,0.0,0
591,44.0,Male,Kyiv,Business Analyst,15,0,Lead,UML,No Response,60000.0,0,No Response,No Response,30,Self-employed,Unlimited contract,English,101-1000,Business Services,No,0.0,0
592,32.0,Male,Berlin,Frontend Developer,13,2,Senior,JavaScript,"PHP, Javascript / Typescript",70000.0,1000,65000.0,1000,25,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
593,33.0,Male,Dusseldorf,Data Scientist,2,2,Lead,Spark,"Python, Docker",70000.0,6000,60000.0,66000,25,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1000
594,32.0,Male,Munich,Frontend Developer,8,2,Senior,"Js, reactJS ","Javascript / Typescript, AWS",65000.0,5000,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,30.0,0
595,26.0,Male,Berlin,Data Engineer,4,3,Middle,Scala,"Python, Java / Scala, SQL, AWS, Google Cloud, Azure",51000.0,0,46000.0,No Response,30,Full-time,Unlimited contract,English,11-50,Business Services,No,0.0,0
596,22.0,Diverse,Cologne,QA Engineer,1,1,Lead,Cobol,Perl,159000.0,35000,98000.0,23000,45,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,30.0,2000
597,43.0,Male,Berlin,Engineering Manager,20,20,Lead,Java,"C/C++, .NET, Java / Scala, AWS, Kubernetes, Docker",105000.0,0,105000.0,0,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
598,33.0,Male,Munich,Software Engineer,11,6,Senior,JavaScript ,".NET, SQL",80000.0,0,No Response,64000,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,600
599,35.0,Female,Frankfurt,Software Engineer,1,1,Junior,ABAP,"SQL, SAP / ABAP",50000.0,0,50000.0,0,30,Full-time,Unlimited contract,German,51-100,Business Services,No,0.0,0
600,28.0,Male,Munich,Frontend Developer,5,5,Middle,JavaScript,"Python, Javascript / Typescript, SQL, Rust, AWS, Kubernetes, Docker",72000.0,0,62000.0,6200,28,Full-time,Unlimited contract,German,11-50,Utilities and Manufacturing,No,0.0,0
601,36.0,Male,Munich,DevOps,16,0,Senior,SRE,"Python, C/C++, Go",105000.0,150000,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,Yes,0.0,900
602,27.0,Male,Munich,Data Engineer,2,0,Junior,Python ,"Python, SQL, AWS, Azure, Docker",49000.0,5000,No Response,No Response,30,Full-time,Unlimited contract,German,11-50,Business Services,No,0.0,0
603,36.0,Male,Berlin,Backend Developer,4,1,Middle,Java,"Python, SQL, Kubernetes, Docker",55000.0,0,55000.0,0,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,20.0,0
604,38.0,Male,Berlin,Backend Developer,5,1,Middle,Java,"Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",66000.0,0,60000.0,60000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
605,28.0,Male,Berlin,Mobile Developer,6,1,Middle,Android,"Kotlin, Java / Scala",85000.0,10000,No Response,No Response,32,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,440
606,25.0,Male,Berlin,Mobile Developer,8,0,Senior,Clojure,"Swift, Javascript / Typescript, Java / Scala, Clojure",85000.0,10000,No Response,No Response,24,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
607,30.0,Male,Berlin,Frontend Developer,6,1,Senior,Javascript,"Python, Javascript / Typescript, SQL, SAP / ABAP",79000.0,10000,77000.0,0,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,700
608,42.0,Female,Berlin,QA Engineer,10,3,Middle,"JS, WDIO","Javascript / Typescript, SQL, Docker",42000.0,0,32000.0,0,0,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
609,30.0,Male,Berlin,Backend Developer,8,2,Middle,Python,"SQL, AWS, Kubernetes, Docker",74000.0,11000,72000.0,5000,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,480
610,28.0,Male,Berlin,Backend Developer,8,1,Lead,Ruby,"SQL, AWS",67000.0,0,62000.0,No Response,28,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
611,32.0,Female,Berlin,DevOps,9,5,Middle,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet","Ruby, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",74000.0,10000,65000.0,No Response,40,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
612,29.0,Male,Berlin,Frontend Developer,3,0,Middle,JavaScript ,PHP,48000.0,0,No Response,No Response,26,Full-time,Unlimited contract,English,51-100,Business Services,No,0.0,0
613,35.0,Male,Berlin,Software Engineer,13,5,Lead,TypeScript,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Elixir",103000.0,200000,92000.0,25000,29,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,1000
614,33.0,Male,Berlin,Frontend Developer,10,4,Senior,JS,"Javascript / Typescript, Google Cloud, Kubernetes, Docker",74000.0,0,66000.0,No Response,28,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,8.0,200
615,34.0,Male,Berlin,Backend Developer,13,1,Senior,Elixir,SQL,70000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,500
616,25.0,Male,Berlin,Backend Developer,6,2,Senior,Go,"Python, SQL, Go, AWS, Kubernetes, Docker",86000.0,0,80000.0,5000,28,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,500
617,42.0,Female,Berlin,QA Engineer,5,5,Middle,Java,No Response,46000.0,No,46000.0,No Response,26,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,30.0,No
618,25.0,Female,Tampere,computer vision researcher,3,0.25,Junior,Python,"Python, Tensorflow, Theano, Pytorch",23000.0,23000,No Response,No Response,30,Full-time,Temporary contract,English,51-100,Education and Research,No,0.0,0
619,40.0,Male,Berlin,Backend Developer,14,8,Lead,Spring,"Java / Scala, AWS, Azure, Kubernetes, Docker",135000.0,0,65000.0,0,30,Self-employed,Temporary contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
620,33.0,Male,Heidelberg,Software Engineer,11,5,Senior,Python,"Python, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",80000.0,0,No Response,78000,30,Full-time,Temporary contract,English,101-1000,Education and Research,No,0.0,0
621,39.0,Male,Cologne,Teamlead,12,12,Lead,PHP ,"AWS, Docker",75000.0,75000,75000.0,75009,30,Full-time,Unlimited contract,German,up to 10,Entrepreneurship,No,20.0,0
622,24.0,Male,Berlin,Software Engineer,2,2,Junior,Javascript,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker",50000.0,0,35000.0,35000,30,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
623,24.0,Female,Prague,Software Engineer,3,0,Middle,Java,"Java / Scala, AWS, Azure, Kubernetes, Docker",29000.0,0,23000.0,0,20,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
624,39.0,Male,Berlin,Engineering Manager,15,10,Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, Docker",78000.0,12000,78000.0,12000,30,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,0
625,26.0,Male,Berlin,Backend Developer,2.5,1,Middle,Java,No Response,60000.0,0,No Response,No Response,26,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
626,29.0,Male,Berlin,Software Engineer,6,0.5,Middle,Swift,Swift,70000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,600
627,29.0,Female,Berlin,Software Engineer,5,2,Middle,PHP,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Docker",55000.0,0,47000.0,No Response,24,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
628,30.0,Male,Berlin,Backend Developer,9,3,Lead,Java,"Javascript / Typescript, Java / Scala, Go, AWS, Docker",85000.0,0,80000.0,No Response,25,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
629,31.0,Male,Berlin,ML Engineer,7,2,Middle,Python,"AWS, Kubernetes, Docker",80000.0,12000,65000.0,0,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
630,33.0,Male,Berlin,Mobile Developer,8,2,Senior,swift,SQL,75000.0,1000,75000.0,1000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
631,31.0,Female,Berlin,Software Engineer,1,1,Junior,React,"Python, AWS, Kubernetes, Docker, React",57000.0,1000,54000.0,1000,30,Full-time,Unlimited contract,English,1000+,Retail,No,0.0,0
632,36.0,Male,Frankfurt,Software Engineer,16,5,Middle,.Net,".NET, SQL",65000.0,0,65000.0,0,30,Full-time,Unlimited contract,German,51-100,Business Services,No,30.0,0
633,30.0,Male,Berlin,Mobile Developer,8,5,Senior,Swift,"Python, Kotlin, Swift, Javascript / Typescript",60000.0,0,No Response,No Response,50,Self-employed,Temporary contract,English,up to 10,Business Services,Yes,0.0,0
634,39.0,Male,Berlin,Software Engineer,19,7,Senior,Golang,"Python, Ruby, Go, AWS, Google Cloud, Kubernetes, Docker",87000.0,97000,82000.0,92000,365,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,40.0,500
635,30.0,Male,Munich,Software Engineer,10,3,Senior,Офмф,No Response,79000.0,0,No Response,No Response,0,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
636,32.0,Male,Berlin,Software Engineer,11,1,Senior,C++,"Python, C/C++, Rust",100000.0,10000,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1000
637,35.0,Male,Berlin,Backend Developer,12,3,Senior,php,"SQL, Google Cloud, Docker",54000.0,0,No Response,No Response,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,4.0,0
638,34.0,Male,Berlin,Data Scientist,6,4.5,Senior,python,"Python, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,10000,76000.0,0,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1000
639,26.0,Male,Berlin,Data Scientist,4,2,Middle,Python,"Python, SQL, Google Cloud, Docker",60000.0,6000,60000.0,6000,27,Full-time,Unlimited contract,English,1000+,E-Commerce,No,0.0,180
640,29.0,Male,Helsinki,Mobile Developer,7,0,Senior,Kotlin,"Javascript / Typescript, Java / Scala, Flutter",64000.0,1100,No Response,No Response,30,Full-time,Unlimited contract,English,51-100,Business Services,No,0.0,0
641,42.0,Male,Berlin,Frontend Developer,18,5,Senior,React JS,Javascript / Typescript,850000.0,95000,75000.0,82000,35,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,Yes,0.0,5000
642,31.0,Male,Berlin,Software Engineer,12,2,Senior,Java,"SQL, Go, AWS, Kubernetes, Docker",60000.0,0,55000.0,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
643,33.0,Male,Berlin,Software Engineer,10,5,Senior,Python,"PHP, Javascript / Typescript, SQL, Go, Google Cloud, Kubernetes, Docker",80000.0,10000,70000.0,0,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,700
644,28.0,Male,Berlin,Data Engineer,6,1.5,Middle,Python,"Java / Scala, SQL, Kubernetes, Docker",83000.0,0,75000.0,0,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,20.0,1500
645,35.0,Male,Dusseldorf,Data Scientist,3,3,Middle,Python,"SQL, AWS",68000.0,8000,60000.0,8000,26,Full-time,Unlimited contract,English,51-100,E-Commerce,No,0.0,0
646,35.0,Male,Berlin,Consultant,16,6,Senior,Python,"Python, Java / Scala, SQL, Google Cloud",100000.0,30000,100000.0,30000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
647,31.0,Male,Berlin,Software Engineer,8,3,Senior,Typescript ,"Javascript / Typescript, Java / Scala, Go, Rust, AWS, Kubernetes, Docker",80000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
648,32.0,Male,Siegen,Software Engineer,13,1,Junior,C,C/C++,48000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
649,38.0,Male,Berlin,Software Engineer,15,3,Senior,Go,"Google Cloud, Docker",75000.0,0,73000.0,0,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
650,29.0,Male,Berlin,Engineering Manager,9,0.1,Lead,Go,"SQL, AWS, Docker",85000.0,0,No Response,No Response,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
651,33.0,Male,Berlin,Backend Developer,13,1,Senior,Java,"Kotlin, Java / Scala, SQL, AWS, Google Cloud, Docker",110000.0,0,No Response,No Response,24,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,400
652,28.0,Male,Berlin,Fullstack Developer,6,6,Senior,JavaScript,"Javascript / Typescript, SQL, AWS, Docker",75000.0,0,60000.0,No Response,23,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
653,32.0,Male,Berlin,Senior Data Engineer,9,4,Senior,Python,"Java / Scala, SQL, AWS",90000.0,0,85000.0,No Response,30,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
654,39.0,Male,Berlin,Frontend Developer,10,3,Senior,Javascript,"Javascript / Typescript, Ruby, AWS, Docker",85000.0,0,No Response,No Response,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
655,31.0,Male,Minsk,Frontend Developer,6,0,Senior,TypeScript/Angular,"Python, Javascript / Typescript",110000.0,0,90000.0,No Response,30,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
656,33.0,Male,Berlin,Software Engineer,10,5,Senior,golang,"Go, Google Cloud, Kubernetes, Docker",110000.0,7000,110000.0,7000,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
657,30.0,Male,Berlin,QA Engineer,8,3,Senior,Python,"Python, C/C++, Docker",68000.0,0,66000.0,No Response,30,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
658,30.0,Female,Dusseldorf,Analyst,2,2,Junior,R,"Python, SQL",45000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
659,37.0,Male,Munich,Software Engineer,15,6,Senior,C#,"Python, PHP, Javascript / Typescript, .NET, Java / Scala, AWS, Azure",80000.0,0,65000.0,No Response,30,Full-time,Unlimited contract,German,51-100,Business Services,Yes,0.0,0
660,42.0,Male,Berlin,Software Engineer,20,2,Senior,PHP,"PHP, Javascript / Typescript, AWS, Docker",65000.0,5000,63000.0,10000,27,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
661,31.0,Male,Nuremberg,QA Engineer,9,5,Middle,Java,"Javascript / Typescript, Java / Scala",60000.0,65000,57000.0,59000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,No
662,20.0,Male,Berlin,Mobile Developer,5,2,Lead,C#,.NET,240000.0,15000,No Response,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,Yes,0.0,0
663,34.0,Female,Berlin,QA Engineer,11,11,Senior,Python,"AWS, Kubernetes, Docker",60000.0,2000,36000.0,0,28,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,40.0,250
